author,url,text,section,title,sub_title,date
,https://www.oantagonista.com/brasil/servidores-da-receita-acessaram-ilegalmente-dados-fiscais-de-bolsonaro-e-familia/,"A Receita Federal acaba de soltar nota informando que dois servidores acessaram ilegalmente informações fiscais de Jair Bolsonaro e familiares.O órgão abriu sindicância, que concluiu não haver “motivação legal para o acesso”. A Polícia Federal foi notificada.Confira a íntegra da nota:",Brasil,SERVIDORES DA RECEITA ACESSARAM ILEGALMENTE DADOS FISCAIS DE BOLSONARO E FAMÍLIA,,05/04/2019 18:57:04
,https://www.oantagonista.com/brasil/cabral-diz-ter-repassado-r-15-mi-em-propina-para-campanha-de-aecio/,"No depoimento de hoje a Marcelo Bretas, Sérgio Cabral também disse ter enviado à campanha de Aécio Neves à Presidência, em 2014, R$ 1,5 milhão oriundo do pagamento de propinas no Rio.“Ele [Aécio] estava meio deprimido, para baixo, a Marina [Silva] tinha ultrapassado ele”, afirmou o ex-governador do Rio ao juiz da Lava Jato.“Então pedi para procurarem o homem do dinheiro dele e encaminhei R$ 1,5 milhão”, acrescentou.",Brasil,"Cabral diz ter repassado R$ 1,5 mi em propina para campanha de Aécio",,05/04/2019 18:45:43
,https://www.oantagonista.com/sociedade/bolsonaro-oficializa-fim-do-horario-de-verao/,"O porta-voz da Presidência, Otávio do Rêgo Barros, informou hoje que não haverá horário de verão neste ano, registra o G1.Rêgo Barros oficializou declaração de Jair Bolsonaro –mais cedo, em seu café da manhã com jornalistas, o presidente disse que poderia encerrar o horário de verão ainda neste ano.Questionado sobre detalhes da medida, o porta-voz respondeu: “Esta é a posição para este ano. Para o próximo ano, faremos avaliação posterior”.Mais tarde, no Twitter, Bolsonaro detalhou a decisão:“Após estudos técnicos que apontam para a eliminação dos benefícios por conta de fatores como iluminação mais eficiente, evolução das posses, aumento do consumo de energia e mudança de hábitos da população, decidimos que não haverá horário de verão na temporada 2019/2020.”",Sociedade,Bolsonaro oficializa fim do horário de verão,,05/04/2019 17:44:05
,https://www.oantagonista.com/brasil/servidores-da-receita-teriam-acessado-dados-sigilosos-de-bolsonaro/,"Em O Globo, Lauro Jardim diz que a PF fez buscas em pelo menos um endereço da Receita Federal ontem, em Campinas.Segundo o colunista, a investigação da Inteligência da PF, “mantida sob a mais absoluta reserva”, mira em suspeitas de que dois servidores teriam usado o sistema do órgão para acessar dados fiscais sigilosos de Jair Bolsonaro.A Receita deve divulgar nota sobre o assunto ainda hoje.",Brasil,Servidores da Receita teriam acessado dados sigilosos de Bolsonaro,,05/04/2019 18:17:54
,https://www.oantagonista.com/brasil/familiares-querem-que-senador-ameacado-deixe-relatoria-do-pacote-anticrime/,"Familiares de Marcos do Val estão tentando convencer o senador a deixar uma das relatorias do pacote anticrime de Sergio Moro, depois das  sofridas pelo parlamentar por meio de um email apócrifo.Ele, porém, disse a  que não vai deixar a função e voltou a cobrar investigação da Polícia Legislativa do Senado, que não comentou o caso.",Brasil,Familiares querem que senador ameaçado deixe relatoria do pacote anticrime,,05/04/2019 18:14:06
,https://www.oantagonista.com/brasil/condenado-na-lava-jato-usa-fundo-como-argumento-para-suspeicao-de-forca-tarefa/,"Jorge Zelada, ex-diretor da área internacional da Petrobras condenado a 15 anos e 3 meses na Lava Jato, pediu a suspeição de toda a força-tarefa da operação, informa Fausto Macedo.Seus advogados alegaram que os procuradores da República do Paraná têm interesse em sua condenação, já que poderiam administrar os recursos oriundos de suas condenações.Os defensores de Zelada usaram como argumento o polêmico fundo bilionário –suspenso pelo STF– que receberia parte da multa de R$ 2,5 bilhões da Petrobrás nos EUA.",Brasil,Condenado na Lava Jato usa fundo como argumento para suspeição de força-tarefa,,05/04/2019 18:09:38
,https://www.oantagonista.com/brasil/podemos-tudo/,"Jair Bolsonaro resolveu negociar com os partidos para conseguir aprovar a reforma da Previdência.Mas precisa ficar esperto com o Podemos, que consegue estar ao mesmo tempo na base do governo e na oposição.O deputado Bacelar, do Podemos da Bahia, é vice-líder da minoria na Câmara – ou seja, oposição.Enquanto José Medeiros, do Podemos do Mato Grosso, é vice-líder do governo, escolhido pelo próprio presidente.",Brasil,Podemos tudo,,05/04/2019 18:09:19
,https://www.oantagonista.com/brasil/bolsonaro-diz-que-aguarda-pf-para-decidir-futuro-de-ministro-do-turismo/,"Jair Bolsonaro disse hoje que vai aguardar o relatório da Polícia Federal para decidir o destino de Marcelo Álvaro Antônio, registra o Estadão.A PF investiga a acusação de que o ministro do Turismo participou de um esquema para lançar candidaturas-laranjas do PSL, o partido do presidente, na campanha eleitoral do ano passado em Minas Gerais.“Vamos aguardar o relatório da Polícia Federal. Só com acusação não vale”, afirmou Bolsonaro. “Com o relatório em mãos, vamos analisar.”",Brasil,Bolsonaro diz que aguarda PF para decidir futuro de ministro do Turismo,,05/04/2019 16:52:50
,https://www.oantagonista.com/mundo/hamas-chama-flavio-bolsonaro-de-filho-de-extremista/,"O Hamas, grupo terrorista que controla a faixa de Gaza, respondeu ao tuíte publicado –e depois apagado– por Flávio Bolsonaro, que disse querer que o grupo “se exploda”, registra o Estadão.“O filho do extremista presidente brasileiro está atacando o Hamas porque rejeitamos o apoio ilimitado do novo governo brasileiro à ocupação israelense, que é uma contradição ao apoio histórico do Brasil ao povo palestino”, escreveu no Twitter Basem Naim, presidente do Conselho de Relações Internacionais do Hamas.“Jerusalém é um território ocupado, de acordo com o direito internacional, e ninguém, incluindo Jair Bolsonaro, tem o direito de legitimar a ocupação israelense”, acrescentou Naim.O grupo terrorista, evidentemente, é contra a transferência da embaixada brasileira de Tel Aviv para Jerusalém, aventada pelo presidente brasileiro.",Mundo,Hamas chama Flávio Bolsonaro de ‘filho de extremista’,,05/04/2019 17:49:42
,https://www.oantagonista.com/brasil/velez-ainda-estara-no-mec/,"Alessandro Molon, líder da oposição na Câmara, apresentou um requerimento (veja  a íntegra) para convocar Ricardo Vélez mais uma vez.A intenção, desta vez, é que o ministro explique sua ideia de substituir livros didáticos usados pelas escolas públicas.O pedido poderá ser votado na próxima terça-feira.A questão é saber se o colombiano ainda será ministro até lá.",Brasil,Vélez ainda estará no MEC?,,05/04/2019 16:54:24
